ПЭ-2М 298;11.09.2023 23:05:27;Алмалыксай;15 км/ч;90958 км
ПЭ-2М 387;11.09.2023 23:18:42;Заброшенное кладбище;21 км/ч;97788 км
ПЭ-2У 032;11.09.2023 23:33:03;Алмалыксай;17 км/ч;128166 км
ПЭ-2у 094;11.09.2023 23:42:32;Алмалыксай;17 км/ч;96385 км
ПЭ-2у 068;11.09.2023 23:44:50;Заброшенное кладбище;19 км/ч;105265 км
ПЭ-2у 166;12.09.2023 00:13:35;Алмалыксай;15 км/ч;129069 км
ПЭ-2М 251;12.09.2023 00:17:36;Алмалыксай;15 км/ч;21923 км
ПЭ-2у 102;12.09.2023 00:19:07;Заброшенное кладбище;24 км/ч;99684 км
ПЭ-2у 117;12.09.2023 00:20:03;Заброшенное кладбище;16 км/ч;98281 км
ПЭ-2м 340;12.09.2023 00:27:43;Алмалыксай;17 км/ч;96124 км
ПЭ-2М 356;12.09.2023 00:30:21;Заброшенное кладбище;13 км/ч;23223 км
ПЭ-2у 089;12.09.2023 00:39:06;Алмалыксай;14 км/ч;98240 км
ПЭ-2у 120;12.09.2023 00:42:52;Заброшенное кладбище;18 км/ч;111178 км
ПЭ-2М 356;12.09.2023 00:45:10;Заброшенное кладбище;21 км/ч;23229 км
ПЭ-2М 299;12.09.2023 00:50:17;Заброшенное кладбище;18 км/ч;90735 км
ПЭ-2м 439;12.09.2023 00:51:21;Алмалыксай;15 км/ч;99376 км
ПЭ-2М 387;12.09.2023 01:13:24;Алмалыксай;17 км/ч;97795 км
ПЭ-2м 361;12.09.2023 01:15:16;Заброшенное кладбище;18 км/ч;98513 км
ПЭ-2М 171;12.09.2023 01:27:06;Алмалыксай;12 км/ч;101815 км
ПЭ-2М 171;12.09.2023 01:30:14;Заброшенное кладбище;8 км/ч;101815 км
ПЭ-2у 165;12.09.2023 01:31:28;Заброшенное кладбище;22 км/ч;130715 км
ПЭ-2м 421;12.09.2023 01:32:32;Заброшенное кладбище;19 км/ч;91697 км
ПЭ-2М 223;12.09.2023 01:39:14;Алмалыксай;19 км/ч;114247 км
ПЭ-2у 165;12.09.2023 01:43:21;Алмалыксай;19 км/ч;130716 км
ПЭ-2м 421;12.09.2023 01:43:35;Заброшенное кладбище;22 км/ч;91704 км
ПЭ-2М 298;12.09.2023 01:52:07;Заброшенное кладбище;17 км/ч;90975 км
ПЭ-2у 165;12.09.2023 01:52:15;Заброшенное кладбище;13 км/ч;130716 км
ПЭ-2у 068;12.09.2023 01:56:29;Алмалыксай;17 км/ч;105280 км
ПЭ-2М 319;12.09.2023 02:00:07;Заброшенное кладбище;17 км/ч;85434 км
ПЭ-2М 434;12.09.2023 02:16:11;Заброшенное кладбище;15 км/ч;103688 км
ПЭ-2М 434;12.09.2023 02:26:39;Заброшенное кладбище;16 км/ч;103694 км
ПЭ-2у 117;12.09.2023 02:27:03;Алмалыксай;12 км/ч;98289 км
ПЭ-2У 032;12.09.2023 02:29:21;Заброшенное кладбище;19 км/ч;128180 км
ПЭ-2у 115;12.09.2023 02:31:01;Алмалыксай;15 км/ч;111048 км
ПЭ-2у 165;12.09.2023 02:34:07;Заброшенное кладбище;19 км/ч;130722 км
ПЭ-2у 120;12.09.2023 02:35:01;Алмалыксай;14 км/ч;111187 км
ПЭ-2у 115;12.09.2023 02:45:30;Заброшенное кладбище;15 км/ч;111054 км
ПЭ-2М 356;12.09.2023 02:47:22;Алмалыксай;12 км/ч;23238 км
ПЭ-2у 094;12.09.2023 02:49:00;Заброшенное кладбище;15 км/ч;96407 км
ПЭ-2у 102;12.09.2023 02:57:25;Алмалыксай;16 км/ч;99697 км
ПЭ-2М 299;12.09.2023 03:00:34;Алмалыксай;18 км/ч;90744 км
ПЭ-2М 251;12.09.2023 03:08:00;Заброшенное кладбище;15 км/ч;21941 км
ПЭ-2м 361;12.09.2023 03:17:19;Алмалыксай;10 км/ч;98525 км
ПЭ-2м 340;12.09.2023 03:23:27;Заброшенное кладбище;21 км/ч;96141 км
ПЭ-2у 089;12.09.2023 03:24:35;Заброшенное кладбище;16 км/ч;98259 км
ПЭ-2у 166;12.09.2023 03:28:33;Заброшенное кладбище;18 км/ч;129081 км
ПЭ-2м 340;12.09.2023 03:32:55;Алмалыксай;19 км/ч;96146 км
ПЭ-2М 319;12.09.2023 03:39:47;Алмалыксай;14 км/ч;85446 км
ПЭ-2у 095;12.09.2023 04:00:00;Заброшенное кладбище;13 км/ч;103624 км
ПЭ-2м 421;12.09.2023 04:01:22;Алмалыксай;15 км/ч;91709 км
ПЭ-2М 298;12.09.2023 04:10:08;Алмалыксай;17 км/ч;90990 км
ПЭ-2М 360;12.09.2023 04:12:04;Заброшенное кладбище;22 км/ч;109417 км
ПЭ-2М 360;12.09.2023 04:12:12;Алмалыксай;10 км/ч;109417 км
ПЭ-2м 439;12.09.2023 04:13:42;Заброшенное кладбище;14 км/ч;99395 км
ПЭ-2У 032;12.09.2023 04:17:16;Алмалыксай;14 км/ч;128188 км
ПЭ-2у 095;12.09.2023 04:22:36;Алмалыксай;12 км/ч;103625 км
ПЭ-2М 223;12.09.2023 04:32:14;Заброшенное кладбище;18 км/ч;114254 км
ПЭ-2М 387;12.09.2023 04:36:28;Заброшенное кладбище;16 км/ч;97816 км
ПЭ-2у 115;12.09.2023 04:40:54;Алмалыксай;18 км/ч;111059 км
ПЭ-2М 434;12.09.2023 04:45:28;Алмалыксай;17 км/ч;103709 км
ПЭ-2у 117;12.09.2023 04:49:53;Заброшенное кладбище;16 км/ч;98301 км
